subject_name,age,input_type,count,input_recipient
EILD101,275,Speech,32,Other
EILD101,275,Speech,24,Baby
EILD101,275,Music,18,Other
EILD101,275,Music,5,Baby
EILD104,523,Speech,13,Other
EILD104,523,Speech,21,Baby
EILD104,523,Music,1,Other
EILD104,523,Music,46,Baby
EILD105,485,Speech,22,Other
EILD105,485,Speech,26,Baby
EILD105,485,Music,10,Other
EILD105,485,Music,9,Baby
EILD106,334,Speech,24,Other
EILD106,334,Speech,30,Baby
EILD106,334,Music,8,Other
EILD106,334,Music,4,Baby
EILD108,228,Speech,13,Other
EILD108,228,Speech,15,Baby
EILD108,228,Music,1,Other
EILD108,228,Music,2,Baby
EILD109,226,Speech,33,Other
EILD109,226,Speech,19,Baby
EILD109,226,Music,7,Other
EILD109,226,Music,9,Baby
EILD110,172,Speech,39,Other
EILD110,172,Speech,18,Baby
EILD110,172,Music,6,Other
EILD110,172,Music,53,Baby
EILD111,191,Speech,51,Other
EILD111,191,Speech,18,Baby
EILD111,191,Music,8,Other
EILD111,191,Music,5,Baby
EILD112,388,Speech,40,Other
EILD112,388,Speech,26,Baby
EILD112,388,Music,7,Other
EILD112,388,Music,4,Baby
EILD113,667,Speech,25,Other
EILD113,667,Speech,23,Baby
EILD113,667,Music,10,Other
EILD113,667,Music,3,Baby
EILD114,398,Speech,25,Other
EILD114,398,Speech,16,Baby
EILD114,398,Music,3,Other
EILD114,398,Music,21,Baby
EILD115,120,Speech,52,Other
EILD115,120,Speech,8,Baby
EILD115,120,Music,17,Other
EILD115,120,Music,2,Baby
EILD116,424,Speech,20,Other
EILD116,424,Speech,11,Baby
EILD116,424,Music,4,Other
EILD116,424,Music,5,Baby
EILD117,561,Speech,26,Other
EILD117,561,Speech,34,Baby
EILD117,561,Music,11,Other
EILD117,561,Music,7,Baby
EILD201,159,Speech,30,Other
EILD201,159,Speech,18,Baby
EILD201,159,Music,12,Other
EILD201,159,Music,3,Baby
EILD202,537,Speech,24,Other
EILD202,537,Speech,26,Baby
EILD202,537,Music,8,Other
EILD202,537,Music,7,Baby
EILD302,573,Speech,26,Other
EILD302,573,Speech,29,Baby
EILD302,573,Music,5,Other
EILD302,573,Music,23,Baby
EILD303,427,Speech,18,Other
EILD303,427,Speech,23,Baby
EILD303,427,Music,28,Other
EILD303,427,Music,18,Baby
EILD304,358,Speech,26,Other
EILD304,358,Speech,14,Baby
EILD304,358,Music,0,Other
EILD304,358,Music,3,Baby
EILD305,433,Speech,16,Other
EILD305,433,Speech,19,Baby
EILD305,433,Music,0,Other
EILD305,433,Music,2,Baby
EILD307,467,Speech,14,Other
EILD307,467,Speech,25,Baby
EILD307,467,Music,8,Other
EILD307,467,Music,15,Baby
EILD309,518,Speech,18,Other
EILD309,518,Speech,28,Baby
EILD309,518,Music,2,Other
EILD309,518,Music,2,Baby
EILD310,523,Speech,29,Other
EILD310,523,Speech,17,Baby
EILD310,523,Music,12,Other
EILD310,523,Music,11,Baby
EILD311,456,Speech,24,Other
EILD311,456,Speech,35,Baby
EILD311,456,Music,7,Other
EILD311,456,Music,9,Baby
EILD312,313,Speech,15,Other
EILD312,313,Speech,7,Baby
EILD312,313,Music,0,Other
EILD312,313,Music,2,Baby
EILD313,307,Speech,15,Other
EILD313,307,Speech,21,Baby
EILD313,307,Music,6,Other
EILD313,307,Music,8,Baby
EILD314,500,Speech,17,Other
EILD314,500,Speech,37,Baby
EILD314,500,Music,3,Other
EILD314,500,Music,10,Baby
EILD316,500,Speech,22,Other
EILD316,500,Speech,18,Baby
EILD316,500,Music,1,Other
EILD316,500,Music,4,Baby
EILD317,367,Speech,11,Other
EILD317,367,Speech,17,Baby
EILD317,367,Music,0,Other
EILD317,367,Music,2,Baby
EILD320,320,Speech,20,Other
EILD320,320,Speech,27,Baby
EILD320,320,Music,3,Other
EILD320,320,Music,10,Baby
EILD321,445,Speech,21,Other
EILD321,445,Speech,20,Baby
EILD321,445,Music,2,Other
EILD321,445,Music,7,Baby
EILD322,518,Speech,34,Other
EILD322,518,Speech,32,Baby
EILD322,518,Music,3,Other
EILD322,518,Music,6,Baby
EILD323,414,Speech,56,Other
EILD323,414,Speech,16,Baby
EILD323,414,Music,5,Other
EILD323,414,Music,10,Baby
EILD326,472,Speech,21,Other
EILD326,472,Speech,17,Baby
EILD326,472,Music,12,Other
EILD326,472,Music,4,Baby
EILD328,488,Speech,32,Other
EILD328,488,Speech,44,Baby
EILD328,488,Music,3,Other
EILD328,488,Music,5,Baby
EILD329,521,Speech,22,Other
EILD329,521,Speech,44,Baby
EILD329,521,Music,1,Other
EILD329,521,Music,1,Baby
EILD330,363,Speech,23,Other
EILD330,363,Speech,24,Baby
EILD330,363,Music,9,Other
EILD330,363,Music,5,Baby
EILD331,387,Speech,27,Other
EILD331,387,Speech,18,Baby
EILD331,387,Music,7,Other
EILD331,387,Music,15,Baby
EILD333,488,Speech,21,Other
EILD333,488,Speech,34,Baby
EILD333,488,Music,0,Other
EILD333,488,Music,3,Baby
EILD334,587,Speech,22,Other
EILD334,587,Speech,17,Baby
EILD334,587,Music,15,Other
EILD334,587,Music,1,Baby
EILD335,415,Speech,44,Other
EILD335,415,Speech,11,Baby
EILD335,415,Music,8,Other
EILD335,415,Music,8,Baby
EILD336,202,Speech,34,Other
EILD336,202,Speech,20,Baby
EILD336,202,Music,7,Other
EILD336,202,Music,1,Baby
WBH106,212,Speech,37,Other
WBH106,212,Speech,34,Baby
WBH106,212,Music,10,Other
WBH106,212,Music,7,Baby
WBH110,390,Speech,31,Other
WBH110,390,Speech,20,Baby
WBH110,390,Music,2,Other
WBH110,390,Music,0,Baby
WBH118,143,Speech,23,Other
WBH118,143,Speech,26,Baby
WBH118,143,Music,5,Other
WBH118,143,Music,5,Baby
WBH125,443,Speech,19,Other
WBH125,443,Speech,22,Baby
WBH125,443,Music,1,Other
WBH125,443,Music,2,Baby
WBH130,356,Speech,29,Other
WBH130,356,Speech,24,Baby
WBH130,356,Music,5,Other
WBH130,356,Music,3,Baby
WBH132,257,Speech,23,Other
WBH132,257,Speech,36,Baby
WBH132,257,Music,2,Other
WBH132,257,Music,4,Baby
WBH133,709,Speech,21,Other
WBH133,709,Speech,12,Baby
WBH133,709,Music,16,Other
WBH133,709,Music,19,Baby
WBH135,485,Speech,31,Other
WBH135,485,Speech,34,Baby
WBH135,485,Music,2,Other
WBH135,485,Music,1,Baby
WBH136,691,Speech,20,Other
WBH136,691,Speech,40,Baby
WBH136,691,Music,3,Other
WBH136,691,Music,20,Baby
WBH137,563,Speech,8,Other
WBH137,563,Speech,37,Baby
WBH137,563,Music,5,Other
WBH137,563,Music,21,Baby
WBH140,527,Speech,16,Other
WBH140,527,Speech,26,Baby
WBH140,527,Music,4,Other
WBH140,527,Music,1,Baby
WBH141,452,Speech,30,Other
WBH141,452,Speech,35,Baby
WBH141,452,Music,16,Other
WBH141,452,Music,6,Baby
WBH142,682,Speech,34,Other
WBH142,682,Speech,15,Baby
WBH142,682,Music,6,Other
WBH142,682,Music,18,Baby
WBH143,504,Speech,9,Other
WBH143,504,Speech,27,Baby
WBH143,504,Music,9,Other
WBH143,504,Music,8,Baby
WBH144,589,Speech,15,Other
WBH144,589,Speech,40,Baby
WBH144,589,Music,1,Other
WBH144,589,Music,13,Baby
WBH145,314,Speech,48,Other
WBH145,314,Speech,23,Baby
WBH145,314,Music,5,Other
WBH145,314,Music,9,Baby
WBH146,389,Speech,18,Other
WBH146,389,Speech,43,Baby
WBH146,389,Music,4,Other
WBH146,389,Music,13,Baby
WBH147,691,Speech,29,Other
WBH147,691,Speech,23,Baby
WBH147,691,Music,10,Other
WBH147,691,Music,4,Baby
WBH149,562,Speech,19,Other
WBH149,562,Speech,28,Baby
WBH149,562,Music,2,Other
WBH149,562,Music,1,Baby
WBH150,699,Speech,9,Other
WBH150,699,Speech,29,Baby
WBH150,699,Music,6,Other
WBH150,699,Music,22,Baby
WBH151,679,Speech,43,Other
WBH151,679,Speech,35,Baby
WBH151,679,Music,9,Other
WBH151,679,Music,6,Baby
WBH152,321,Speech,28,Other
WBH152,321,Speech,21,Baby
WBH152,321,Music,4,Other
WBH152,321,Music,4,Baby
