subject_name,age,music,speech
EILD101,275,24.0,57.0
EILD104,523,47.0,35.0
EILD105,485,19.0,50.0
EILD106,334,14.0,57.0
EILD108,228,3.0,30.0
EILD109,226,17.0,54.0
EILD110,172,62.0,57.0
EILD111,191,15.0,70.0
EILD112,388,11.0,72.0
EILD113,667,14.0,60.0
EILD114,398,27.0,42.0
EILD115,120,20.0,67.0
EILD116,424,10.0,33.0
EILD117,561,20.0,66.0
EILD201,159,18.0,51.0
EILD202,537,15.0,50.0
EILD302,573,30.0,59.0
EILD303,427,48.0,43.0
EILD304,358,4.0,43.0
EILD305,433,2.0,35.0
EILD307,467,26.0,40.0
EILD309,518,4.0,49.0
EILD310,523,25.0,51.0
EILD311,456,18.0,62.0
EILD312,313,2.0,24.0
EILD313,307,14.0,36.0
EILD314,500,13.0,56.0
EILD316,500,6.0,41.0
EILD317,367,3.0,30.0
EILD320,320,15.0,49.0
EILD321,445,9.0,46.0
EILD322,518,9.0,69.0
EILD323,414,15.0,74.0
EILD326,472,17.0,40.0
EILD328,488,10.0,78.0
EILD329,521,2.0,69.0
EILD330,363,15.0,48.0
EILD331,387,22.0,47.0
EILD333,488,3.0,58.0
EILD334,587,19.0,40.0
EILD335,415,17.0,58.0
EILD336,202,8.0,55.0
WBH106,212,17.0,72.0
WBH110,390,2.0,53.0
WBH118,143,10.0,52.0
WBH125,443,3.0,43.0
WBH130,356,9.0,55.0
WBH132,257,7.0,62.0
WBH133,709,36.0,36.0
WBH135,485,5.0,66.0
WBH136,691,24.0,65.0
WBH137,563,26.0,46.0
WBH140,527,5.0,45.0
WBH141,452,23.0,71.0
WBH142,682,24.0,51.0
WBH143,504,18.0,37.0
WBH144,589,14.0,57.0
WBH145,314,15.0,73.0
WBH146,389,17.0,63.0
WBH147,691,16.0,53.0
WBH149,562,3.0,49.0
WBH150,699,30.0,42.0
WBH151,679,15.0,84.0
WBH152,321,10.0,52.0
